šifra,naziv,grupa,kolicina,nabavna_cijena,marza,cijena,rabat
5836,LG P940 PRADA III BLACK,MOBITELI,-1,2399.00,25.02,3749.00,0.00
5837,MEANIT AUTO NOSAČ SMARTPHONE,MOBITELI,1,29.00,173.10,99.00,0.00
5838,TELE2 PRET SAM. GALAXY TREND BLACK,TELE2,5,956.00,25.11,1495.00,0.00
5839,MEANIT AUTO PUNJAČ USB CRNI,MOBITELI,1,25.20,55.56,49.00,0.00
5840,MEANIT AUTO PUNJAČ USBx2 BIJELI,MOBITELI,1,39.20,100.68,59.00,40.00
5841,TPU TORBICA ZA IPHONE 4G,AUDIOVIDEO PROGRAM,4,16.00,160.00,39.00,25.00
5842,JVC CS-V527U AUTO ZVUČNICI,AUTOPROGRAM,2,191.20,108.37,249.00,50.00
5843,BENQ MS502 3D READY PROJEKTOR+TORBA,AUDIOVIDEO PROGRAM,1,2179.00,42.49,3299.00,15.00
5844,TRANSCEND JF370 8GB,PC,3,35.73,54.49,69.00,0.00
5845,PIONEER DDJ-WEGO2-R,PC,1,1231.50,62.34,2499.00,0.00
5846,MSG PLAY i120 RAČUNALO,PC,1,2442.03,15.58,2999.00,15.00
5847,GREE GWH09PA-K3NNA1A,KLIMA,2,750.00,31.58,937.50,24.00
5848,GORENJE IT 640-ORA-W,BIJELA TEHNIKA,0,0.00,0.00,6999.00,0.00
5849,MICROSOFT NOTEBOOK COOLING WHITE,PC,0,0.00,0.00,209.00,0.00
5850,PIONEER VSX-828-K,AUDIOVIDEO PROGRAM,1,2719.20,28.21,3399.00,22.00
5852,"SIGMA CANON 150/2,8 MACRO EX DG",AUDIOVIDEO PROGRAM,1,5100.00,17.63,7499.00,0.00
5853,MICROSOFT WIRED KEYBOARD 600,PC,0,0.00,0.00,199.00,0.00
5854,CORRIGO P.V.  DODATNO JAM. 3GOD.,PC,2,210.00,52.00,399.00,0.00
5855,ASUS NX1001 MREŽNA KARTICA,PC,2,29.25,55.87,49.00,14.00
5856,DELL LAPTOP CASE F1 MESSENGER BAG,PC,0,115.49,0.00,275.00,0.00
5858,TOSHIBA STOR.E BASICS HDD 500GB,PC,1,267.46,64.21,549.00,0.00
5860,YARVIK PMP-200 MP4 4GB,AUDIOVIDEO PROGRAM,1,188.25,39.56,289.00,12.00
5861,ORINK CANON PGI-550BK-X BLACK,PRINTER,3,11.00,401.82,69.00,0.00
5862,CANON PIXMA MG5550,PRINTER,1,690.00,44.61,949.00,23.91
